id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2019-970085,2019-02-08,1,Vente,260000,2,,AV DES MAGNOLIAS,1420,64700,64260,Hendaye,64,,,64260000AW0235,,,170,60.43,40,,,,,,,,2,2,Appartement,60.00,3,,,,,,-1.7741820,43.3716100,000AW
2019-970090,2019-02-13,1,Vente,429090,8,B,RUE BURUGORIA,445,64700,64260,Hendaye,64,,,64260000AD0848,,,,,,,,,,,,,0,1,Maison,110.00,5,S,sols,,,617.00,-1.7591700,43.3640700,000AD
2019-970093,2019-02-14,1,Vente,200000,9001,,RUE MARCEL PAUL,1445,64700,64260,Hendaye,64,,,64260000AK0525,,,363,59.62,,,,,,,,,1,2,Appartement,60.00,3,,,,,,-1.7758670,43.3526690,000AK
2019-970098,2019-02-11,1,Vente,112640,84,,AV DES MIMOSAS,1510,64700,64260,Hendaye,64,,,64260000AX0135,,,120,21.54,,,,,,,,,1,2,Appartement,21.00,1,,,,,,-1.7856290,43.3708810,000AX
2019-970099,2019-02-12,1,Vente,130000,1,B,RUE DU TUNNEL,2200,64700,64260,Hendaye,64,,,64260000AN0103,,,147,40.29,,,,,,,,,1,2,Appartement,42.00,2,,,,,,-1.7700130,43.3582520,000AN
2019-970112,2019-02-18,1,Vente,130420,58,,RUE DE SUBERNOA,2110,64700,64260,Hendaye,64,,,64260000AO0016,,,7,38.10,,,,,,,,,1,2,Appartement,38.00,2,,,,,,-1.7664540,43.3600740,000AO
2019-970113,2019-02-11,1,Vente,144000,14,,RUE DE BEHOBIE,320,64700,64260,Hendaye,64,,,64260000AL0253,,,197,35.04,,,,,,,,,1,2,Appartement,40.00,2,,,,,,-1.7802570,43.3494050,000AL
2019-970115,2019-02-19,1,Vente,250000,29,,AGUERRIA,B005,64700,64260,Hendaye,64,,,64260000AB0285,,,,,,,,,,,,,0,1,Maison,75.00,4,S,sols,,,389.00,-1.7470700,43.3731370,000AB
2019-970118,2019-02-28,1,Vente,269500,27,,RUE HAPETENIA,1145,64700,64260,Hendaye,64,,,64260000AI0033,,,20,83.78,,,,,,,,,1,2,Appartement,85.00,4,,,,,,-1.7694710,43.3515800,000AI
2019-970130,2019-02-13,1,Vente,130000,16,,RUE DOLEAC,740,64700,64260,Hendaye,64,,,64260000AL0523,,,34,45.18,,,,,,,,,1,2,Appartement,46.00,3,,,,,,-1.7800930,43.3507900,000AL
